scenario,scenario_type,case_key,case_name,trades,win_rate,expected_return,total_return_pct,max_drawdown_pct,avg_holding_days,tp_count,sl_count,timeout_count,top20_win_rate,prob65_win_rate,avg_peak_profit_pct,avg_trade_drawdown_pct
2025_ai_bubble,bull,combo_position_limited__fixed7__margin_le20,保有数制限 x 固定7% x 信用倍率20倍以下,1062,57.5,2.145,82.227,-16.524,4.22,541,419,102,78.3,73.9,6.184,-2.701
2025_ai_bubble,bull,combo_position_limited__fixed7__margin_le5,保有数制限 x 固定7% x 信用倍率5倍以下,1037,55.1,1.801,73.602,-8.41,4.35,485,424,128,79.2,76.0,5.791,-2.858
2025_ai_bubble,bull,combo_position_limited__fixed7__short_pressure,保有数制限 x 固定7% x 売り残比率10%以上,1064,56.4,2.006,85.896,-9.156,4.17,530,428,106,79.2,73.6,6.048,-2.742
2025_ai_bubble,bull,combo_position_limited__ma5,保有数制限 x 5日MA割れ,901,57.8,3.06,110.88,-13.941,5.94,500,376,25,80.0,73.3,9.767,-2.973
2025_ai_bubble,bull,combo_position_limited__ma5__margin_le10,保有数制限 x 5日MA割れ x 信用倍率10倍以下,899,55.6,2.485,91.235,-13.639,5.91,476,394,29,77.1,72.3,9.028,-3.056
2025_ai_bubble,bull,combo_position_limited__ma5__margin_le20,保有数制限 x 5日MA割れ x 信用倍率20倍以下,894,56.5,2.832,93.582,-14.531,6.02,479,385,30,75.3,72.2,9.427,-3.008
2025_ai_bubble,bull,combo_position_limited__ma5__margin_le5,保有数制限 x 5日MA割れ x 信用倍率5倍以下,897,55.0,2.546,79.284,-9.285,5.88,470,397,30,76.5,72.8,8.961,-3.142
2025_ai_bubble,bull,combo_position_limited__ma5__short_pressure,保有数制限 x 5日MA割れ x 売り残比率10%以上,899,55.6,2.485,91.235,-13.639,5.91,476,394,29,77.1,72.3,9.028,-3.056
2025_ai_bubble,bull,combo_position_limited__pullback2,保有数制限 x 反落-2%,943,57.8,2.921,119.131,-15.993,5.31,405,375,163,76.1,71.5,8.706,-2.872
2025_ai_bubble,bull,combo_position_limited__pullback2__margin_le10,保有数制限 x 反落-2% x 信用倍率10倍以下,919,54.7,2.258,88.364,-11.828,5.46,364,381,174,73.2,70.7,8.008,-2.93
2025_ai_bubble,bull,combo_position_limited__pullback2__margin_le20,保有数制限 x 反落-2% x 信用倍率20倍以下,922,56.7,2.698,91.828,-12.532,5.46,384,371,167,72.3,70.5,8.453,-2.864
2025_ai_bubble,bull,combo_position_limited__pullback2__margin_le5,保有数制限 x 反落-2% x 信用倍率5倍以下,913,54.0,2.289,65.424,-13.926,5.51,345,388,180,74.2,71.6,8.056,-2.979
2025_ai_bubble,bull,combo_position_limited__pullback2__short_pressure,保有数制限 x 反落-2% x 売り残比率10%以上,919,54.7,2.258,88.364,-11.828,5.46,364,381,174,73.2,70.7,8.008,-2.93
2025_ai_bubble,bull,combo_position_limited__rsi70,保有数制限 x RSI70反落,1053,61.3,2.63,116.153,-13.434,4.28,645,406,2,82.4,77.4,7.713,-2.752
2025_ai_bubble,bull,combo_position_limited__rsi70__margin_le10,保有数制限 x RSI70反落 x 信用倍率10倍以下,1042,60.4,2.119,99.333,-8.806,4.33,627,409,6,78.8,76.2,7.045,-2.789
2025_ai_bubble,bull,combo_position_limited__rsi70__margin_le20,保有数制限 x RSI70反落 x 信用倍率20倍以下,1033,61.7,2.492,105.911,-11.353,4.41,635,392,6,80.1,76.2,7.512,-2.704
2025_ai_bubble,bull,combo_position_limited__rsi70__margin_le5,保有数制限 x RSI70反落 x 信用倍率5倍以下,1036,58.4,2.028,73.467,-13.87,4.39,599,426,11,79.7,76.7,6.995,-2.928
2025_ai_bubble,bull,combo_position_limited__rsi70__short_pressure,保有数制限 x RSI70反落 x 売り残比率10%以上,1042,60.4,2.119,99.333,-8.806,4.33,627,409,6,78.8,76.2,7.045,-2.789
2025_ai_bubble,bull,combo_position_limited__trailing3,保有数制限 x トレーリング3%,1183,54.2,0.771,17.463,-8.253,1.67,639,178,2,71.6,67.9,3.98,-1.62
2025_ai_bubble,bull,combo_position_limited__trailing3__margin_le10,保有数制限 x トレーリング3% x 信用倍率10倍以下,1166,50.4,0.552,14.843,-10.649,1.8,585,179,4,72.5,68.2,3.793,-1.7
2025_ai_bubble,bull,combo_position_limited__trailing3__margin_le20,保有数制限 x トレーリング3% x 信用倍率20倍以下,1173,51.7,0.62,11.92,-8.635,1.77,602,165,5,69.2,66.3,3.843,-1.617
2025_ai_bubble,bull,combo_position_limited__trailing3__margin_le5,保有数制限 x トレーリング3% x 信用倍率5倍以下,1149,48.4,0.424,4.88,-9.818,1.87,553,183,4,75.5,70.0,3.66,-1.755
2025_ai_bubble,bull,combo_position_limited__trailing3__short_pressure,保有数制限 x トレーリング3% x 売り残比率10%以上,1166,50.4,0.552,14.843,-10.649,1.8,585,179,4,72.5,68.2,3.793,-1.7
2025_ai_bubble,bull,combo_position_limited__trailing5,保有数制限 x トレーリング5%,1091,53.2,1.1,45.828,-15.727,3.92,541,291,43,75.2,70.1,6.184,-2.315
2025_ai_bubble,bull,combo_position_limited__trailing5__margin_le10,保有数制限 x トレーリング5% x 信用倍率10倍以下,1062,51.6,0.975,44.906,-12.06,4.19,505,285,46,74.1,70.2,6.061,-2.324
2025_ai_bubble,bull,combo_position_limited__trailing5__margin_le20,保有数制限 x トレーリング5% x 信用倍率20倍以下,1078,52.4,0.922,36.643,-13.072,4.07,521,281,48,74.9,70.0,6.025,-2.295
2025_ai_bubble,bull,combo_position_limited__trailing5__margin_le5,保有数制限 x トレーリング5% x 信用倍率5倍以下,1044,49.2,0.765,19.998,-14.406,4.21,465,291,53,72.6,70.2,5.784,-2.456
2025_ai_bubble,bull,combo_position_limited__trailing5__short_pressure,保有数制限 x トレーリング5% x 売り残比率10%以上,1062,51.6,0.975,44.906,-12.06,4.19,505,285,46,74.1,70.2,6.061,-2.324
2025_ai_bubble,bull,combo_regime_strict__atr15,地合い厳格化 x ATR 1.5倍,775,52.0,2.332,74.471,-12.757,5.29,399,195,4,76.8,67.7,8.634,-2.428
2025_ai_bubble,bull,combo_regime_strict__atr15__margin_le10,地合い厳格化 x ATR 1.5倍 x 信用倍率10倍以下,647,49.6,1.799,49.019,-9.757,5.13,319,166,2,74.4,65.4,7.944,-2.456
2025_ai_bubble,bull,combo_regime_strict__atr15__margin_le20,地合い厳格化 x ATR 1.5倍 x 信用倍率20倍以下,668,49.4,2.074,50.245,-7.736,5.21,328,165,2,74.4,63.1,8.128,-2.414
2025_ai_bubble,bull,combo_regime_strict__atr15__margin_le5,地合い厳格化 x ATR 1.5倍 x 信用倍率5倍以下,591,48.9,1.915,54.097,-11.985,5.14,285,149,4,77.1,69.4,8.019,-2.428
2025_ai_bubble,bull,combo_regime_strict__atr15__short_pressure,地合い厳格化 x ATR 1.5倍 x 売り残比率10%以上,647,49.6,1.799,49.019,-9.757,5.13,319,166,2,74.4,65.4,7.944,-2.456
2025_ai_bubble,bull,combo_regime_strict__fixed10,地合い厳格化 x 固定10%,739,56.0,2.902,82.448,-5.757,5.59,280,283,176,74.8,70.2,7.557,-2.894
2025_ai_bubble,bull,combo_regime_strict__fixed10__margin_le10,地合い厳格化 x 固定10% x 信用倍率10倍以下,624,52.2,2.371,61.575,-6.766,5.69,209,259,156,72.6,64.3,7.15,-2.997
2025_ai_bubble,bull,combo_regime_strict__fixed10__margin_le20,地合い厳格化 x 固定10% x 信用倍率20倍以下,647,53.5,2.603,66.289,-5.876,5.6,228,261,158,75.2,66.3,7.226,-2.915
2025_ai_bubble,bull,combo_regime_strict__fixed10__margin_le5,地合い厳格化 x 固定10% x 信用倍率5倍以下,556,54.3,2.503,73.541,-6.537,5.81,185,223,148,78.4,68.3,7.269,-2.928
2025_ai_bubble,bull,combo_regime_strict__fixed10__short_pressure,地合い厳格化 x 固定10% x 売り残比率10%以上,624,52.2,2.371,61.575,-6.766,5.69,209,259,156,72.6,64.3,7.15,-2.997
2025_ai_bubble,bull,combo_regime_strict__fixed6,地合い厳格化 x 固定6%,920,66.6,2.316,80.587,-9.235,3.04,481,246,193,87.0,81.5,5.704,-2.083
2025_ai_bubble,bull,combo_regime_strict__fixed6__margin_le10,地合い厳格化 x 固定6% x 信用倍率10倍以下,759,65.3,2.279,87.41,-7.827,3.09,388,198,173,88.7,82.1,5.683,-2.043
