scenario,mix_name,date,daily_return_pct,equity,drawdown_pct,combo_current__pullback2__margin_le20_return_pct,combo_current__ma5__margin_le20_return_pct,combo_current__rsi70__margin_le5_return_pct,combo_current__fixed10_return_pct
2024_ai_bubble,defensive_mix,2024-01-27,0.0805,105.5767,-0.1348,0.1061,0.6397,0.0,-0.1297
2024_ai_bubble,defensive_mix,2024-01-28,0.4544,106.0311,0.0,0.9512,0.3858,0.0,0.1767
2024_ai_bubble,defensive_mix,2024-01-29,0.3268,106.3579,0.0,0.4642,0.0195,0.3999,0.0959
2024_ai_bubble,defensive_mix,2024-01-30,0.0819,106.4398,0.0,0.0253,0.0934,-0.025,0.3497
2024_ai_bubble,defensive_mix,2024-01-31,-0.0149,106.4248,-0.014,0.0,0.0,-0.0498,0.0
2024_ai_bubble,defensive_mix,2024-02-01,0.0422,106.4671,0.0,0.2757,0.1573,-0.3705,0.1368
2024_ai_bubble,defensive_mix,2024-02-02,0.6419,107.109,0.0,0.4737,0.0,0.004,2.2562
2024_ai_bubble,defensive_mix,2024-02-03,0.0894,107.1984,0.0,-0.0117,0.6932,0.0105,0.1082
2024_ai_bubble,defensive_mix,2024-02-04,0.187,107.3854,0.0,0.2258,-0.0664,0.3384,0.0088
2024_ai_bubble,defensive_mix,2024-02-05,0.5333,107.9187,0.0,0.9019,0.2529,0.0,0.7363
2024_ai_bubble,defensive_mix,2024-02-06,0.0026,107.9213,0.0,-0.0206,0.1086,0.0,0.0
2024_ai_bubble,defensive_mix,2024-02-07,-0.1634,107.7579,-0.1514,-0.1505,0.1271,-0.4727,0.1295
2024_ai_bubble,defensive_mix,2024-02-08,1.01,108.7678,0.0,2.5709,-0.2604,0.0442,-0.028
2024_ai_bubble,defensive_mix,2024-02-09,0.2755,109.0434,0.0,-0.1297,1.1416,0.4755,0.3531
2024_ai_bubble,defensive_mix,2024-02-10,-0.0147,109.0287,-0.0135,0.0,0.0,-0.1886,0.2094
2024_ai_bubble,defensive_mix,2024-02-11,1.2641,110.2928,0.0,1.8508,1.3601,0.1777,1.6723
2024_ai_bubble,defensive_mix,2024-02-12,0.3134,110.6062,0.0,0.9652,-0.1619,-0.0146,-0.2607
2024_ai_bubble,defensive_mix,2024-02-13,0.3759,110.9821,0.0,0.0,3.2095,0.0,0.2749
2024_ai_bubble,defensive_mix,2024-02-14,0.2325,111.2146,0.0,0.0,0.7356,0.4854,0.0667
2024_ai_bubble,defensive_mix,2024-02-15,0.2364,111.451,0.0,0.6316,0.0,0.0,-0.0814
2024_ai_bubble,defensive_mix,2024-02-16,0.4849,111.9359,0.0,0.1756,0.1102,0.554,1.1873
2024_ai_bubble,defensive_mix,2024-02-17,1.6208,113.5567,0.0,4.0107,0.0,0.0551,0.0
2024_ai_bubble,defensive_mix,2024-02-18,0.0966,113.6533,0.0,0.0568,0.0,0.2286,0.0265
2024_ai_bubble,defensive_mix,2024-02-19,0.1805,113.8338,0.0,0.2261,0.2321,0.0,0.334
2024_ai_bubble,defensive_mix,2024-02-20,0.4264,114.2602,0.0,0.0,1.2514,0.3222,1.023
2024_ai_bubble,defensive_mix,2024-02-21,0.4902,114.7503,0.0,0.5103,1.5587,0.0,0.6508
2024_ai_bubble,defensive_mix,2024-02-22,0.5777,115.3281,0.0,0.2286,4.8629,0.0,0.0
2024_ai_bubble,defensive_mix,2024-02-23,-0.151,115.1771,-0.1309,0.0623,0.0,-0.4154,-0.2564
2024_ai_bubble,defensive_mix,2024-02-24,0.4136,115.5906,0.0,0.0185,0.0093,1.4334,-0.124
2024_ai_bubble,defensive_mix,2024-02-25,0.4281,116.0188,0.0,0.576,0.0358,0.6281,0.0286
2024_ai_bubble,defensive_mix,2024-02-26,0.1817,116.2005,0.0,0.3265,0.5109,0.0,0.0
2024_ai_bubble,defensive_mix,2024-02-27,0.3365,116.537,0.0,0.0164,0.0765,0.0,1.6115
2024_ai_bubble,defensive_mix,2024-02-28,0.2474,116.7844,0.0,0.0,0.0,0.0,1.2372
2024_ai_bubble,defensive_mix,2024-02-29,2.642,119.4265,0.0,3.6309,2.7703,2.1165,1.3886
2024_ai_bubble,defensive_mix,2024-03-01,0.0898,119.5163,0.0,-0.167,0.8152,0.0265,0.3357
2024_ai_bubble,defensive_mix,2024-03-02,0.4836,119.9999,0.0,0.0217,-0.0082,1.4058,0.2701
2024_ai_bubble,defensive_mix,2024-03-03,0.644,120.6439,0.0,0.0745,0.041,1.8999,0.2004
2024_ai_bubble,defensive_mix,2024-03-04,0.0825,120.7263,0.0,0.0,0.1517,0.1987,0.0385
2024_ai_bubble,defensive_mix,2024-03-05,1.4966,122.2229,0.0,2.3013,2.4849,0.217,1.3124
